Source,Target,IntervalNumber,StartTime,EndTime,Duration,DurationRatio,RangeMax,RangeMin,RangeRate,LinkID,LinkType
LEO_1 +X_OCT,LEO_2 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_1 +X_OCT--LEO_2 -X_OCT--1,LEO_LEO
LEO_1 +X_OCT,LEO_9 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260576.1818,4411115.1285,30,LEO_1 +X_OCT--LEO_9 -X_OCT--1,LEO_LEO
LEO_1 +X_OCT,LEO_58 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,7990306.0569,6641425.106,30,LEO_1 +X_OCT--LEO_58 -X_OCT--1,LEO_LEO
LEO_2 +X_OCT,LEO_3 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_2 +X_OCT--LEO_3 -X_OCT--1,LEO_LEO
LEO_2 +X_OCT,LEO_10 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260620.0835,4411016.9107,30,LEO_2 +X_OCT--LEO_10 -X_OCT--1,LEO_LEO
LEO_2 +X_OCT,LEO_59 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,7990331.8176,6641238.0082,30,LEO_2 +X_OCT--LEO_59 -X_OCT--1,LEO_LEO
LEO_3 +X_OCT,LEO_4 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_3 +X_OCT--LEO_4 -X_OCT--1,LEO_LEO
LEO_3 +X_OCT,LEO_11 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260451.6645,4410938.4026,30,LEO_3 +X_OCT--LEO_11 -X_OCT--1,LEO_LEO
LEO_3 +X_OCT,LEO_60 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,7990115.8409,6641196.2557,30,LEO_3 +X_OCT--LEO_60 -X_OCT--1,LEO_LEO
LEO_4 +X_OCT,LEO_5 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_4 +X_OCT--LEO_5 -X_OCT--1,LEO_LEO
LEO_4 +X_OCT,LEO_12 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260520.8676,4410876.091,30,LEO_4 +X_OCT--LEO_12 -X_OCT--1,LEO_LEO
LEO_4 +X_OCT,LEO_61 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,7990271.3539,6641165.2618,30,LEO_4 +X_OCT--LEO_61 -X_OCT--1,LEO_LEO
LEO_5 +X_OCT,LEO_6 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_5 +X_OCT--LEO_6 -X_OCT--1,LEO_LEO
LEO_5 +X_OCT,LEO_13 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260576.1818,4411115.1285,30,LEO_5 +X_OCT--LEO_13 -X_OCT--1,LEO_LEO
LEO_5 +X_OCT,LEO_62 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,7990306.0569,6641425.106,30,LEO_5 +X_OCT--LEO_62 -X_OCT--1,LEO_LEO
LEO_6 +X_OCT,LEO_7 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_6 +X_OCT--LEO_7 -X_OCT--1,LEO_LEO
LEO_6 +X_OCT,LEO_14 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260620.0835,4411016.9107,30,LEO_6 +X_OCT--LEO_14 -X_OCT--1,LEO_LEO
LEO_6 +X_OCT,LEO_63 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,7990331.8176,6641238.0082,30,LEO_6 +X_OCT--LEO_63 -X_OCT--1,LEO_LEO
LEO_7 +X_OCT,LEO_8 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_7 +X_OCT--LEO_8 -X_OCT--1,LEO_LEO
LEO_7 +X_OCT,LEO_15 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260451.6645,4410938.4026,30,LEO_7 +X_OCT--LEO_15 -X_OCT--1,LEO_LEO
LEO_7 +X_OCT,LEO_64 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,7990115.8409,6641196.2557,30,LEO_7 +X_OCT--LEO_64 -X_OCT--1,LEO_LEO
LEO_8 +X_OCT,LEO_16 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260520.8676,4410876.091,30,LEO_8 +X_OCT--LEO_16 -X_OCT--1,LEO_LEO
LEO_8 +X_OCT,LEO_57 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,7990271.3539,6641165.2618,30,LEO_8 +X_OCT--LEO_57 -X_OCT--1,LEO_LEO
LEO_9 +X_OCT,LEO_10 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_9 +X_OCT--LEO_10 -X_OCT--1,LEO_LEO
LEO_9 +X_OCT,LEO_17 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260577.867,4411108.117,30,LEO_9 +X_OCT--LEO_17 -X_OCT--1,LEO_LEO
LEO_10 +X_OCT,LEO_11 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_10 +X_OCT--LEO_11 -X_OCT--1,LEO_LEO
LEO_10 +X_OCT,LEO_18 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260516.6791,4410879.8264,30,LEO_10 +X_OCT--LEO_18 -X_OCT--1,LEO_LEO
LEO_11 +X_OCT,LEO_12 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_11 +X_OCT--LEO_12 -X_OCT--1,LEO_LEO
LEO_11 +X_OCT,LEO_19 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260456.6048,4410936.0108,30,LEO_11 +X_OCT--LEO_19 -X_OCT--1,LEO_LEO
LEO_12 +X_OCT,LEO_13 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_12 +X_OCT--LEO_13 -X_OCT--1,LEO_LEO
LEO_12 +X_OCT,LEO_20 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260617.4518,4411022.8554,30,LEO_12 +X_OCT--LEO_20 -X_OCT--1,LEO_LEO
LEO_13 +X_OCT,LEO_14 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_13 +X_OCT--LEO_14 -X_OCT--1,LEO_LEO
LEO_13 +X_OCT,LEO_21 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260577.867,4411108.117,30,LEO_13 +X_OCT--LEO_21 -X_OCT--1,LEO_LEO
LEO_14 +X_OCT,LEO_15 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_14 +X_OCT--LEO_15 -X_OCT--1,LEO_LEO
LEO_14 +X_OCT,LEO_22 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260516.6791,4410879.8264,30,LEO_14 +X_OCT--LEO_22 -X_OCT--1,LEO_LEO
LEO_15 +X_OCT,LEO_16 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,5800054.0328,5800054.0319,30,LEO_15 +X_OCT--LEO_16 -X_OCT--1,LEO_LEO
LEO_15 +X_OCT,LEO_23 -X_OCT,1,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,7200,1,6260456.6048,4410936.0108,30,LEO_15 +X_OCT--LEO_23 -X_OCT--1,LEO_LEO
