Source,Target,StartTime,EndTime,LinkType
LEO_1 +X_OCT,LEO_2 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_2 +X_OCT,LEO_3 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_3 +X_OCT,LEO_4 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_4 +X_OCT,LEO_5 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_5 +X_OCT,LEO_6 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_6 +X_OCT,LEO_7 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_7 +X_OCT,LEO_8 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_9 +X_OCT,LEO_10 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_10 +X_OCT,LEO_11 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_11 +X_OCT,LEO_12 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_12 +X_OCT,LEO_13 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_13 +X_OCT,LEO_14 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_14 +X_OCT,LEO_15 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_15 +X_OCT,LEO_16 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_17 +X_OCT,LEO_18 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_18 +X_OCT,LEO_19 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_19 +X_OCT,LEO_20 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_20 +X_OCT,LEO_21 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_21 +X_OCT,LEO_22 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_22 +X_OCT,LEO_23 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_23 +X_OCT,LEO_24 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_25 +X_OCT,LEO_26 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_26 +X_OCT,LEO_27 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
LEO_27 +X_OCT,LEO_28 -X_OCT,16-Feb-2023 00:00:00,16-Feb-2023 02:00:00,LEO_LEO
